protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN26127_c0_g2_i22.p1_Gla;NODE_15372_length_2429_cov_316.675210_g10481_i0.p1_Gla;TRINITY_DN26127_c0_g2_i25.p1_Gla	mro	Aldose 1-epimerase	mro	mro:1	Aldose 1-epimerase:2;aldose 1-epimerase-like:1	Actinobacteria	N/A;Arthropoda	mro	mro
TRINITY_DN4765_c0_g2_i9.p1_Eve;NODE_15398_length_2409_cov_404.892373_g9075_i0.p1_Ecy;NODE_15069_length_2413_cov_202.347716_g9338_i0.p1_Eve;TRINITY_DN2598_c0_g1_i1.p1_Gla	RGN	PREDICTED: uncharacterized protein LOC108672784	RGN	RGN:1	PREDICTED: uncharacterized protein LOC108672784:4	Actinopterygii	Arthropoda	RGN	RGN
TRINITY_DN858_c1_g1_i2.p1_Eve;NODE_1595_length_5937_cov_333.842901_g923_i1.p1_Eve;NODE_1541_length_5985_cov_331.554919_g923_i0.p1_Eve;TRINITY_DN858_c1_g1_i10.p1_Eve;TRINITY_DN858_c1_g1_i7.p1_Eve;NODE_2826_length_5138_cov_410.286893_g533_i3.p1_Ecy	*	putative sarcalumenin	putative sarcalumenin		putative sarcalumenin:6		Arthropoda	SRL	SRL
NODE_15421_length_2407_cov_385.814673_g9089_i0.p1_Ecy;TRINITY_DN9483_c0_g1_i4.p1_Ecy;TRINITY_DN23577_c0_g2_i3.p1_Gla	*	PREDICTED: protein deglycase DJ-1zDJ-1-like	PREDICTED: protein deglycase DJ-1zDJ-1-like		Protein DJ-1:1;PREDICTED: protein deglycase DJ-1zDJ-1-like:2		Arthropoda	park7	park7
NODE_36453_length_1450_cov_6.955032_g24317_i0.p1_Eve;TRINITY_DN5204_c0_g1_i1.p1_Gla;TRINITY_DN124088_c0_g1_i7.p1_Ecy;NODE_15444_length_2424_cov_168.885053_g10537_i0.p1_Gla;TRINITY_DN236056_c0_g1_i1.p1_Eve	*	family 7 cellobiohydrolase	family 7 cellobiohydrolase		family 7 cellobiohydrolase:5		Arthropoda	CEL7A	CEL7A
TRINITY_DN4282_c0_g2_i2.p1_Eve;NODE_15453_length_2381_cov_320.783448_g1818_i2.p1_Eve;TRINITY_DN38_c1_g1_i9.p1_Gla;TRINITY_DN384_c0_g1_i4.p1_Ecy;TRINITY_DN384_c0_g1_i7.p1_Ecy;NODE_2835_length_5133_cov_263.767506_g1734_i0.p1_Ecy	GPX7	PREDICTED: glutathione peroxidase 7-like	GPX7	GPX7:2	PREDICTED: glutathione peroxidase 7-like:6	Arthropoda	Arthropoda	GPX7	GPX7
TRINITY_DN16698_c0_g1_i5.p1_Eve;NODE_15485_length_2379_cov_50.674249_g9619_i0.p1_Eve;TRINITY_DN9579_c2_g1_i7.p1_Gla;NODE_22337_length_1917_cov_43.546574_g13345_i0.p1_Ecy	*	PREDICTED: 4-hydroxybutyrate coenzyme A transferase-like	PREDICTED: 4-hydroxybutyrate coenzyme A transferase-like		PREDICTED: 4-hydroxybutyrate coenzyme A transferase-like:4		Arthropoda	cat2	cat2
NODE_15496_length_2378_cov_1592.885359_g9626_i0.p1_Eve;TRINITY_DN4547_c0_g1_i2.p1_Ecy;NODE_34927_length_1598_cov_131.200129_g25175_i0.p1_Gla	CRYL1	3-hydroxyacyl-CoA dehydrogenase NAD binding	CRYL1	CRYL1:1	3-hydroxyacyl-CoA dehydrogenase NAD binding:2;PREDICTED: lambda-crystallin homolog isoform X1:1	Arthropoda	Arthropoda	CRYL1	CRYL1
NODE_15514_length_2376_cov_1173.840567_g9640_i0.p1_Eve;TRINITY_DN12370_c0_g1_i6.p1_Gla;NODE_14376_length_2506_cov_728.166870_g9754_i0.p1_Gla	*	S-adenosyl-L-methionine-dependent methyltransferase	S-adenosyl-L-methionine-dependent methyltransferase		S-adenosyl-L-methionine-dependent methyltransferase:2;protein arginine N-methyltransferase 1-like:1		Arthropoda	Prmt1	Prmt1
NODE_21237_length_1981_cov_167.811077_g12663_i0.p1_Ecy;TRINITY_DN2785_c0_g1_i23.p1_Ecy;TRINITY_DN1123_c0_g1_i28.p1_Eve;NODE_15576_length_2371_cov_338.630922_g9677_i0.p1_Eve;TRINITY_DN1123_c0_g1_i17.p1_Eve;TRINITY_DN8008_c0_g2_i5.p1_Gla	*	PREDICTED: chlorophyllase-1, chloroplastic-like	PREDICTED: chlorophyllase-1, chloroplastic-like		PREDICTED: chlorophyllase-1, chloroplastic-like:6		Arthropoda	CHLASE1	CHLASE1
TRINITY_DN40277_c0_g2_i1.p1_Eve;TRINITY_DN2926_c0_g4_i1.p1_Ecy;TRINITY_DN58170_c0_g2_i2.p1_Gla;NODE_1558_length_5564_cov_343.466183_g1032_i0.p1_Gla;NODE_16517_length_2299_cov_341.942667_g5986_i4.p1_Eve	TARDBP	TAR DNA-binding protein 43-like isoform X7	TARDBP	TARDBP:1	TAR DNA-binding protein 43-like isoform X7:3;RNA recognition motif domain:2	Insecta	Arthropoda	TARDBP	TARDBP
TRINITY_DN1842_c1_g1_i2.p1_Gla;NODE_1559_length_5563_cov_135.702394_g1033_i0.p1_Gla	*	PREDICTED: uncharacterized protein LOC108679227	PREDICTED: uncharacterized protein LOC108679227		PREDICTED: uncharacterized protein LOC108679227:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108679227
NODE_15603_length_2369_cov_2730.843534_g6202_i1.p1_Eve;NODE_10169_length_2936_cov_1668.310010_g6202_i0.p1_Eve;NODE_79859_length_923_cov_7.878719_g62489_i0.p1_Gla	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:3		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NODE_15627_length_2368_cov_220.269944_g5060_i1.p1_Eve;TRINITY_DN1778_c0_g1_i2.p1_Eve;NODE_13706_length_2572_cov_478.873960_g8064_i0.p1_Ecy;TRINITY_DN15111_c0_g1_i9.p1_Ecy;NODE_6189_length_3555_cov_82.761552_g4045_i0.p1_Gla;NODE_32666_length_1659_cov_76.304348_g4045_i2.p1_Gla	HAL	histidine ammonia-lyase-like	HAL	HAL:1	histidine ammonia-lyase-like:4;Histidine ammonia-lyase:1	Insecta	Arthropoda	HAL	HAL
NODE_15635_length_2390_cov_11318.488253_g2380_i7.p1_Ecy;NODE_17883_length_2210_cov_11964.436835_g2380_i8.p1_Ecy;TRINITY_DN2929_c0_g1_i21.p1_Ecy	*	Hemocyanin C-terminal, partial	Hemocyanin C-terminal, partial		Hemocyanin C-terminal, partial:2;PREDICTED: hemocyanin B chain-like:1		Arthropoda	HCB	HCB
NODE_15646_length_2389_cov_369.223077_g8499_i1.p1_Ecy;TRINITY_DN179_c0_g1_i9.p1_Ecy;NODE_59723_length_878_cov_247.917973_g40316_i0.p1_Ecy	*	PREDICTED: carboxypeptidase Q-like	PREDICTED: carboxypeptidase Q-like		PREDICTED: carboxypeptidase Q-like:3		Arthropoda	Cpq	Cpq
NODE_15727_length_2359_cov_827.258874_g9779_i0.p1_Eve	*	PREDICTED: tubulin beta-2 chain-like	PREDICTED: tubulin beta-2 chain-like		PREDICTED: tubulin beta-2 chain-like:1		Arthropoda	tbb-2	tbb-2
TRINITY_DN2701_c2_g1_i9.p1_Eve;TRINITY_DN6995_c0_g1_i24.p1_Ecy;TRINITY_DN2925_c0_g2_i7.p1_Gla;NODE_9587_length_3123_cov_3227.861418_g3550_i1.p1_Ecy;NODE_15842_length_2349_cov_2847.453043_g5278_i1.p1_Eve;TRINITY_DN2925_c0_g2_i8.p1_Gla;TRINITY_DN6995_c0_g1_i14.p1_Ecy	*	PREDICTED: RNA-binding protein squid-like isoform X2	PREDICTED: RNA-binding protein squid-like isoform X2		PREDICTED: RNA-binding protein squid-like isoform X5:2;PREDICTED: RNA-binding protein squid-like isoform X2:5		Arthropoda	sqd	sqd
TRINITY_DN4627_c2_g1_i3.p1_Ecy;TRINITY_DN148085_c0_g1_i4.p1_Eve;NODE_1585_length_6161_cov_92.709915_g979_i0.p1_Ecy;NODE_22553_length_2017_cov_64.398374_g15768_i0.p1_Gla	Vps4	PREDICTED: vacuolar protein sorting-associated protein 4A-like	Vps4	Vps4:4	PREDICTED: vacuolar protein sorting-associated protein 4A-like:4	Arthropoda	Arthropoda	Vps4	Vps4
NODE_15910_length_2344_cov_153.708932_g2654_i1.p1_Eve;NODE_18283_length_2175_cov_166.982126_g2654_i2.p1_Eve;TRINITY_DN12856_c0_g1_i2.p1_Ecy	TYMP	Glycosyl transferase family 3 N-terminal domain	TYMP	TYMP:3	Glycosyl transferase family 3 N-terminal domain:2;PREDICTED: thymidine phosphorylase-like:1	Chordata;Metazoa	Arthropoda	TYMP	TYMP
NODE_15946_length_2391_cov_34.073442_g10884_i0.p1_Gla;TRINITY_DN13864_c0_g1_i10.p1_Gla;NODE_61_length_12515_cov_283.619686_g40_i0.p1_Ecy;TRINITY_DN13864_c0_g1_i8.p1_Gla;TRINITY_DN1285_c0_g1_i43.p1_Eve;NODE_36364_length_1561_cov_27.894180_g10884_i4.p1_Gla;TRINITY_DN73501_c0_g1_i3.p1_Gla;TRINITY_DN73501_c0_g1_i31.p1_Gla;NODE_19294_length_2183_cov_13.436270_g13312_i0.p1_Gla;NODE_13184_length_2603_cov_29.994518_g8898_i0.p1_Gla;TRINITY_DN73501_c0_g1_i4.p1_Gla;NODE_37522_length_1534_cov_19.334680_g8898_i1.p1_Gla	CaMKII	calcium calmodulin-dependent kinase type II alpha chain isoform X8	CaMKII	CaMKII:11;CAMK2G:1	calcium/calmodulin-dependent protein kinase type II alpha chain-like:1;calcium/calmodulin-dependent protein kinase II isoform A:4;Calcium/calmodulin-dependent protein kinase II association-domain:1;calcium calmodulin-dependent kinase type II alpha chain isoform X8:5;Hypothetical predicted protein:1	Arthropoda;Diptera;Paraneoptera;Drosophilidae;Bilateria	Rotifera;Arthropoda	CaMKII	CaMKII
NODE_15988_length_2357_cov_316.052860_g9429_i0.p1_Ecy	EML2	HELP protein, partial	EML2	EML2:1	HELP protein, partial:1	Actinopterygii	Arthropoda	EML2	EML2
NODE_16_length_15161_cov_892.961289_g9_i0.p1_Gla;TRINITY_DN2324_c0_g1_i13.p1_Gla	*	PREDICTED: uncharacterized protein LOC108666875	PREDICTED: uncharacterized protein LOC108666875		PREDICTED: uncharacterized protein LOC108666875:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108666875
NODE_1601_length_5521_cov_71.467288_g1058_i0.p1_Gla;TRINITY_DN3905_c0_g1_i1.p1_Ecy	KPNB1	Higher eukaryotic phosphomevalonate kinase	KPNB1	KPNB1:1	Higher eukaryotic phosphomevalonate kinase:1;PREDICTED: importin subunit beta-1-like:1	Arthropoda	Arthropoda	KPNB1	KPNB1
TRINITY_DN12043_c0_g1_i2.p1_Ecy;NODE_16436_length_2323_cov_89.561126_g9701_i0.p1_Ecy;TRINITY_DN5811_c0_g1_i5.p1_Gla;NODE_16015_length_2335_cov_43.611111_g9973_i0.p1_Eve	Cda4	PREDICTED: uncharacterized protein LOC108675203	Cda4	Cda4:4	PREDICTED: uncharacterized protein LOC108675203:4	Hymenoptera	Arthropoda	Cda4	Cda4
TRINITY_DN3807_c1_g2_i5.p1_Eve;NODE_2092_length_5666_cov_84.964216_g1295_i0.p2_Ecy;NODE_16035_length_2383_cov_59.322194_g10943_i0.p1_Gla	how	K domain type 1	how	how:3	PREDICTED: protein held out wings-like:1;K domain type 1:2	Insecta	Arthropoda	how	how
TRINITY_DN147123_c0_g2_i5.p1_Ecy;NODE_1605_length_5928_cov_384.944548_g957_i0.p1_Eve;NODE_1503_length_6262_cov_523.667150_g111_i4.p1_Ecy;TRINITY_DN9895_c0_g1_i10.p1_Gla;NODE_781_length_6713_cov_185.134604_g520_i0.p1_Gla;TRINITY_DN9895_c0_g1_i11.p1_Gla	sgg	PREDICTED: glycogen synthase kinase-3 beta-like isoform X4	sgg	sgg:6	PREDICTED: glycogen synthase kinase-3 beta-like isoform X4:2;PREDICTED: glycogen synthase kinase-3 beta-like isoform X3:2;Protein kinase domain:1;PREDICTED: glycogen synthase kinase-3 beta-like isoform X1:1	Paraneoptera;Hymenoptera	Arthropoda	sgg	sgg
NODE_22526_length_1938_cov_1360.391742_g14346_i0.p1_Eve;NODE_16060_length_2352_cov_1430.145028_g9469_i0.p1_Ecy;TRINITY_DN14640_c2_g1_i3.p1_Gla;TRINITY_DN95351_c0_g1_i2.p1_Gla;TRINITY_DN5_c0_g1_i1.p1_Gla;NODE_33466_length_1636_cov_64.211720_g24034_i0.p1_Gla	*	PREDICTED: nucleolar protein 58-like	PREDICTED: nucleolar protein 58-like		PREDICTED: nucleolar protein 58-like:3;Nucleolar 58, partial:3		Rotifera;Arthropoda	NOP58	NOP58
NODE_16149_length_2326_cov_8.418533_g10066_i0.p1_Eve;TRINITY_DN54428_c0_g1_i1.p1_Gla;NODE_33143_length_1438_cov_11.305976_g20274_i0.p1_Ecy;TRINITY_DN389823_c0_g1_i1.p1_Ecy	TTC37	Tetratricopeptide-like helical domain	TTC37	TTC37:2	Tetratricopeptide-like helical domain:2;PREDICTED: tetratricopeptide repeat protein 37-like:2	Rodentia;Aves	Arthropoda	TTC37	TTC37
TRINITY_DN55520_c0_g3_i2.p1_Ecy;TRINITY_DN2147_c0_g1_i11.p1_Eve;NODE_16157_length_2325_cov_105.232865_g10073_i0.p1_Eve;NODE_6846_length_3416_cov_146.205821_g4510_i0.p1_Gla	ADRM1	proteasomal ubiquitin receptor ADRM1-like isoform X1	ADRM1	ADRM1:1	proteasomal ubiquitin receptor ADRM1-like isoform X1:2;26S proteasome complex ubiquitin receptor subunit Rpn13:2	Arthropoda	Arthropoda	ADRM1	ADRM1
TRINITY_DN16405_c0_g2_i1.p1_Eve;NODE_16261_length_2336_cov_405.687801_g9587_i0.p1_Ecy;TRINITY_DN109943_c0_g1_i3.p1_Gla;NODE_45966_length_1359_cov_14.672519_g15760_i1.p1_Gla;TRINITY_DN109943_c0_g1_i1.p1_Gla;NODE_22543_length_2018_cov_13.584053_g15760_i0.p1_Gla	*	Peptidase M2 peptidyl-dipeptidase A	Peptidase M2 peptidyl-dipeptidase A		LOW QUALITY PROTEIN: angiotensin-converting enzyme-like:2;Peptidase M2 peptidyl-dipeptidase A:3;PREDICTED: angiotensin-converting enzyme-like:1		Arthropoda	*	Peptidase M2 peptidyl-dipeptidase A
TRINITY_DN42547_c0_g1_i1.p1_Ecy;TRINITY_DN58902_c0_g1_i1.p1_Eve;NODE_16300_length_2364_cov_141.409503_g11134_i0.p1_Gla;TRINITY_DN217701_c0_g1_i1.p1_Gla	ABCF3	PREDICTED: ATP-binding cassette sub-family F member 3-like	ABCF3	ABCF3:2	PREDICTED: ATP-binding cassette sub-family F member 3-like:3;ATP-binding cassette sub-family F member 3-like isoform X1:1	Paraneoptera;Aves	Arthropoda	ABCF3	ABCF3
TRINITY_DN4518_c0_g1_i4.p1_Ecy;TRINITY_DN38905_c0_g1_i7.p1_Eve;NODE_8401_length_3216_cov_120.754657_g5076_i0.p1_Eve;NODE_16311_length_2333_cov_169.523643_g9620_i0.p1_Ecy;TRINITY_DN6401_c0_g1_i1.p1_Gla	*	PREDICTED: uncharacterized protein LOC108670182	PREDICTED: uncharacterized protein LOC108670182		PREDICTED: uncharacterized protein LOC108670182:5		Arthropoda	*	PREDICTED: uncharacterized protein LOC108670182
TRINITY_DN1021_c0_g1_i48.p1_Eve;NODE_16867_length_2327_cov_7.435909_g11539_i0.p1_Gla;NODE_16361_length_2310_cov_6019.211411_g10222_i0.p1_Eve;TRINITY_DN41094_c0_g1_i4.p1_Gla;NODE_16980_length_2278_cov_5972.020637_g4702_i1.p1_Ecy;NODE_19247_length_2185_cov_10.309925_g11539_i2.p1_Gla	*	PREDICTED: mediator of RNA polymerase II transcription subunit 15-like	PREDICTED: mediator of RNA polymerase II transcription subunit 15-like		PREDICTED: mediator of RNA polymerase II transcription subunit 15-like:6		Arthropoda	mdt-15	mdt-15
NODE_16394_length_2358_cov_267.597228_g11206_i0.p1_Gla;TRINITY_DN107002_c0_g1_i5.p1_Gla	*	PREDICTED: uncharacterized protein LOC108676292	PREDICTED: uncharacterized protein LOC108676292		PREDICTED: uncharacterized protein LOC108676292:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108676292
TRINITY_DN6242_c1_g1_i19.p1_Eve;NODE_16404_length_2306_cov_526.991139_g10248_i0.p1_Eve;NODE_24660_length_1838_cov_711.142538_g15823_i0.p1_Eve;TRINITY_DN6242_c1_g1_i9.p1_Eve;TRINITY_DN6242_c1_g1_i22.p1_Eve;TRINITY_DN2200_c1_g1_i4.p1_Ecy;NODE_11847_length_2730_cov_695.114510_g7267_i0.p1_Eve;NODE_10739_length_2939_cov_468.908304_g1887_i2.p1_Ecy;TRINITY_DN2200_c1_g1_i3.p1_Ecy	CLIPB1	PREDICTED: coagulation factor IX-like	CLIPB1	CLIPB1:5	PREDICTED: coagulation factor IX-like:7;PREDICTED: serine protease easter-like isoform X1:2	Nematocera	Arthropoda	CLIPB1	CLIPB1
NODE_16416_length_2306_cov_43.945503_g3902_i1.p1_Eve;NODE_19757_length_2078_cov_35.897979_g11734_i0.p3_Ecy;TRINITY_DN39553_c0_g1_i51.p1_Eve;TRINITY_DN31468_c0_g1_i6.p1_Gla;NODE_62939_length_1102_cov_43.932574_g3661_i2.p1_Gla;NODE_91686_length_825_cov_13.195876_g3661_i4.p1_Gla;NODE_92097_length_822_cov_14.366106_g3661_i5.p1_Gla;TRINITY_DN19443_c0_g1_i2.p1_Ecy;NODE_58416_length_897_cov_21.965802_g39258_i0.p1_Ecy;TRINITY_DN19443_c0_g1_i3.p1_Ecy;NODE_76243_length_957_cov_14.105727_g3661_i3.p1_Gla	*	PREDICTED: leupaxin-like isoform X8	PREDICTED: leupaxin-like isoform X8		PREDICTED: leupaxin-like isoform X8:3;PREDICTED: paxillin-like isoform X3:1;PREDICTED: paxillin-like isoform X2:2;PREDICTED: transforming growth factor beta-1-induced transcript 1 protein-like isoform X6:2;PREDICTED: leupaxin-like isoform X7:1;Zinc finger LIM-type:2		Arthropoda	LPXN	LPXN
NODE_2760_length_5170_cov_351.226714_g1687_i0.p1_Ecy;TRINITY_DN216_c23_g1_i3.p1_Ecy;NODE_1645_length_5478_cov_116.116228_g1081_i0.p1_Gla;TRINITY_DN54730_c0_g1_i2.p1_Eve;NODE_24875_length_1921_cov_58.002137_g1081_i1.p1_Gla;TRINITY_DN2364_c1_g1_i8.p1_Eve	NNT	NAD(P) transhydrogenase, mitochondrial-like	NNT	NNT:1	NAD(P) transhydrogenase, mitochondrial-like:6	Arthropoda	Arthropoda	NNT	NNT
NODE_16512_length_2299_cov_5127.448000_g10317_i0.p1_Eve;TRINITY_DN2018_c0_g2_i3.p1_Ecy;NODE_49027_length_1305_cov_3978.365446_g36456_i0.p1_Gla;TRINITY_DN8108_c0_g1_i13.p1_Eve;TRINITY_DN2355_c0_g1_i1.p1_Gla;NODE_44638_length_1133_cov_7696.462177_g22999_i1.p1_Ecy;NODE_60566_length_1133_cov_5116.833948_g36456_i1.p1_Gla;TRINITY_DN2018_c0_g2_i7.p1_Ecy;NODE_49337_length_1184_cov_9374.603524_g10317_i3.p1_Eve	bic	PREDICTED: transcription factor BTF3 homolog 4-like isoform X1	bic	bic:7;BTF3L4:2	PREDICTED: transcription factor BTF3 homolog 4-like isoform X1:9	Insecta	Arthropoda	bic	bic
NODE_1652_length_5885_cov_1393.737149_g984_i0.p1_Eve;NODE_452_length_8512_cov_1717.045728_g87_i3.p2_Ecy;TRINITY_DN40012_c2_g1_i1.p1_Gla;NODE_88643_length_849_cov_5.541250_g70269_i0.p1_Gla;REV__NODE_2033_length_5559_cov_26.799637_g1220_i0.p1_Eve	Vg	PREDICTED: hemolymph clottable protein-like isoform X2	Vg	Vg:1	PREDICTED: hemolymph clottable protein-like isoform X1:1;PREDICTED: hemolymph clottable protein-like isoform X2:2;von Willebrand factor type D domain:1	Paraneoptera	Arthropoda	Vg	Vg
TRINITY_DN80092_c0_g1_i9.p1_Eve;NODE_16649_length_2291_cov_51.984835_g10418_i0.p1_Eve;NODE_5735_length_3951_cov_106.850846_g2562_i1.p1_Ecy;NODE_52539_length_1134_cov_29.483871_g10418_i3.p1_Eve;TRINITY_DN80092_c0_g1_i1.p1_Eve;NODE_10434_length_2990_cov_99.577355_g2562_i2.p1_Ecy;TRINITY_DN1506_c5_g1_i1.p1_Gla;NODE_3123_length_4539_cov_48.479287_g2005_i0.p1_Gla;TRINITY_DN104777_c0_g1_i7.p1_Gla	AIMP2	PREDICTED: phenylalanine--tRNA ligase alpha subunit-like	AIMP2	Farsa:2;AIMP2:3;FARSA:2	PREDICTED: phenylalanine--tRNA ligase alpha subunit-like:7;Phenylalanyl-tRNA synthetase, partial:2	Rodentia;Actinopterygii;Chordata	Arthropoda	AIMP2	AIMP2
NODE_16651_length_2291_cov_47.041927_g10419_i0.p1_Eve;TRINITY_DN12350_c0_g1_i1.p1_Eve;NODE_13678_length_2575_cov_52.739905_g8044_i0.p1_Ecy	OASL	Zinc finger RING-type	OASL	OASL:3	Zinc finger RING-type:2	Aves	Arthropoda	OASL	OASL
TRINITY_DN14962_c1_g2_i1.p1_Eve;NODE_9350_length_3060_cov_230.335105_g1948_i2.p1_Eve;NODE_16704_length_2300_cov_217.244336_g505_i1.p1_Ecy;TRINITY_DN3048_c0_g1_i3.p1_Ecy;NODE_3264_length_4749_cov_160.954681_g1948_i0.p1_Eve;NODE_1034_length_6240_cov_137.790825_g653_i1.p1_Gla;TRINITY_DN2182_c0_g1_i1.p1_Gla	pnut	PREDICTED: septin-7-like isoform X2	pnut	pnut:6;SEPT7:1	PREDICTED: septin-7-like isoform X2:5;PREDICTED: septin-7-like isoform X3:1;PREDICTED: septin-7-like isoform X4:1	Hymenoptera	Arthropoda	pnut	pnut
TRINITY_DN1071_c0_g1_i17.p1_Eve;NODE_16717_length_2286_cov_506.054984_g10463_i0.p1_Eve;TRINITY_DN1071_c0_g1_i16.p1_Eve;NODE_35084_length_1375_cov_637.266214_g15651_i4.p1_Ecy;NODE_26064_length_1719_cov_1973.889222_g15651_i0.p1_Ecy;TRINITY_DN5227_c0_g1_i55.p1_Ecy;TRINITY_DN5227_c0_g1_i95.p1_Ecy;NODE_33044_length_1648_cov_42.541588_g23716_i0.p1_Gla;TRINITY_DN281_c0_g1_i15.p1_Gla	v	PREDICTED: tryptophan 2,3-dioxygenase-like	v	v:6;TDO2:3	PREDICTED: tryptophan 2,3-dioxygenase-like:9	Insecta;Lepidoptera;Opisthokonta	Arthropoda	v	v
NODE_16740_length_2297_cov_15208.133897_g930_i16.p1_Ecy;NODE_1497_length_6266_cov_5471.778189_g930_i0.p1_Ecy;NODE_19021_length_2128_cov_5146.597403_g11281_i0.p1_Ecy	Pepck	Phosphoenolpyruvate carboxykinase GTP-utilizing	Pepck	Pepck:3	Phosphoenolpyruvate carboxykinase GTP-utilizing:2;phosphoenolpyruvate carboxykinase, cytosolic [GTP]-like isoform X2:1	Arthropoda	Arthropoda	Pepck	Pepck
NODE_17651_length_2217_cov_383.105627_g11079_i0.p1_Eve;NODE_16755_length_2296_cov_357.514019_g9905_i0.p1_Ecy;TRINITY_DN6424_c0_g1_i3.p1_Eve;TRINITY_DN1079_c0_g1_i2.p1_Gla;TRINITY_DN6424_c0_g1_i5.p1_Eve	PSMD4	von Willebrand factor type A	PSMD4	PSMD4:2;Pros54:1	von Willebrand factor type A:2;PREDICTED: 26S proteasome non-ATPase regulatory subunit 4-like:2	Bilateria;Actinopterygii;Aves	Arthropoda	PSMD4	PSMD4
TRINITY_DN25538_c0_g1_i1.p1_Eve;NODE_1676_length_5861_cov_49.275809_g1001_i0.p1_Eve;TRINITY_DN7584_c0_g1_i5.p1_Ecy;NODE_1331_length_6489_cov_24.624224_g821_i0.p1_Ecy;TRINITY_DN204927_c0_g1_i2.p1_Gla;TRINITY_DN204927_c0_g3_i1.p1_Gla;NODE_58501_length_1161_cov_12.008094_g44263_i0.p1_Gla	SVEP1	PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	SVEP1	SVEP1:2	PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like:7	Rodentia;Vertebrata	Arthropoda	SVEP1	SVEP1
NODE_16767_length_2282_cov_1963.728616_g10495_i0.p1_Eve;TRINITY_DN361_c4_g1_i1.p1_Eve;TRINITY_DN8859_c0_g1_i7.p1_Ecy;NODE_22991_length_1878_cov_1949.829962_g13734_i0.p1_Ecy;TRINITY_DN40430_c0_g1_i3.p1_Gla;NODE_8436_length_3147_cov_582.050678_g3107_i1.p1_Gla	*	VWFC domain	VWFC domain		VWFC domain:3;PREDICTED: kielin/chordin-like protein:3		Arthropoda	*	VWFC domain
NODE_16800_length_2293_cov_18.743761_g9930_i0.p1_Ecy	*	Alkaline phosphatase	Alkaline phosphatase		Alkaline phosphatase:1		Arthropoda	*	Alkaline phosphatase
TRINITY_DN7531_c0_g2_i2.p1_Eve;NODE_16801_length_2279_cov_363.211211_g10522_i0.p1_Eve;NODE_30664_length_1612_cov_42.425464_g10522_i1.p1_Eve;TRINITY_DN27206_c0_g1_i7.p1_Eve;NODE_26111_length_1717_cov_50.089928_g7194_i1.p1_Ecy;TRINITY_DN6006_c0_g1_i6.p1_Ecy;TRINITY_DN4543_c0_g1_i18.p1_Gla;NODE_13675_length_2562_cov_98.114604_g3574_i1.p1_Gla;NODE_12265_length_2739_cov_905.573234_g7194_i0.p1_Ecy	Jheh2	PREDICTED: juvenile hormone epoxide hydrolase 1-like	Jheh2	Jheh2:8;EPHX1:1	PREDICTED: juvenile hormone epoxide hydrolase 1-like:9	Arthropoda;Hymenoptera;Insecta	Arthropoda	Jheh2	Jheh2
TRINITY_DN12694_c0_g1_i5.p1_Gla;NODE_16833_length_2328_cov_380.229925_g11516_i0.p1_Gla;TRINITY_DN2439_c0_g1_i7.p1_Ecy;TRINITY_DN1140_c0_g1_i10.p1_Eve	EIF3L	PREDICTED: eukaryotic translation initiation factor 3 subunit L-like	EIF3L	EIF3L:1	PREDICTED: eukaryotic translation initiation factor 3 subunit L-like:4	Arthropoda	Arthropoda	EIF3L	EIF3L
TRINITY_DN7261_c0_g1_i9.p1_Gla;TRINITY_DN59_c0_g1_i2.p1_Ecy;TRINITY_DN385_c0_g1_i8.p1_Eve;NODE_1684_length_5851_cov_132.562048_g1007_i0.p1_Eve;TRINITY_DN7261_c0_g1_i3.p1_Gla;TRINITY_DN385_c0_g1_i14.p1_Eve	kinesin-13	PREDICTED: kinesin-like protein KIF2A isoform X2	kinesin-13	kinesin-13:5;KIF2A:1	PREDICTED: kinesin-like protein KIF2A isoform X1:2;PREDICTED: kinesin-like protein KIF2A isoform X2:4	Lepidoptera;Hymenoptera	Arthropoda	kinesin-13	kinesin-13
NODE_984_length_6732_cov_87.793356_g600_i0.p1_Eve;NODE_1689_length_6048_cov_28.912152_g423_i1.p1_Ecy;NODE_678_length_7784_cov_42.758371_g423_i0.p1_Ecy;TRINITY_DN32009_c0_g1_i11.p1_Eve;TRINITY_DN6848_c0_g1_i2.p1_Gla;NODE_294_length_8574_cov_33.948270_g200_i0.p1_Gla	LanA	PREDICTED: laminin subunit alpha-like	LanA	LanA:6	PREDICTED: laminin subunit alpha-like:6	Paraneoptera;Insecta	Arthropoda	LanA	LanA
